ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2109,2109,080429,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,1316,610,706,0,32,254,205,377,391,57,0,331,758,61,11,0,155,2,0,0,0,1314
ELECCIONES REGIONALES Y MUNICIPALES 2110,2110,020812,ANCASH,HUARI,RAPAYAN,1609,857,752,0,106,383,225,432,384,79,0,383,1005,32,6,0,183,2,0,1,2,1604
ELECCIONES REGIONALES Y MUNICIPALES 2111,2111,140117,LIMA,LIMA,PUEBLO LIBRE,97806,43783,54023,0,4101,14977,11045,27475,31578,8630,8,4721,55359,35520,1654,117,427,200,205,21,103,97277
ELECCIONES REGIONALES Y MUNICIPALES 2112,2112,250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,71362,36647,34715,0,5812,20134,10645,18091,14792,1888,5,17196,49233,3005,353,10,1560,132,41,22,58,71109
ELECCIONES REGIONALES Y MUNICIPALES 2113,2113,130112,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,133192,65799,67393,0,10181,31910,19165,37654,29559,4723,6,28464,91795,6987,1111,22,4807,172,182,83,195,132560
ELECCIONES REGIONALES Y MUNICIPALES 2114,2114,120301,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,44497,21349,23148,0,4168,12210,6672,11163,8502,1782,8,15886,17770,1797,294,24,8718,50,12,7,14,44414
ELECCIONES REGIONALES Y MUNICIPALES 2115,2115,100201,ICA,CHINCHA,CHINCHA ALTA,57746,27950,29796,0,3933,11502,7562,16605,15085,3059,22,9530,38515,7778,972,31,898,92,74,24,78,57478
ELECCIONES REGIONALES Y MUNICIPALES 2116,2116,190401,PIURA,MORROPON,CHULUCANAS,66419,33797,32622,0,4483,14541,8586,17692,17258,3859,2,25282,32741,2011,280,36,6067,146,82,56,126,66009
ELECCIONES REGIONALES Y MUNICIPALES 2117,2117,121202,LA LIBERTAD,VIRU,CHAO,18175,9426,8749,0,1584,5329,3291,4719,2864,388,1,7077,9446,205,43,0,1403,10,4,7,17,18137
ELECCIONES REGIONALES Y MUNICIPALES 2118,2118,020815,ANCASH,HUARI,UCO,1456,754,702,0,58,296,202,358,410,132,0,365,877,43,6,0,165,0,0,0,0,1456
ELECCIONES REGIONALES Y MUNICIPALES 2119,2119,030315,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,6837,3220,3617,0,548,1608,830,1707,1716,428,2,1922,3336,58,15,0,1504,21,3,4,7,6802
ELECCIONES REGIONALES Y MUNICIPALES 2120,2120,200801,PUNO,SANDIA,SANDIA,9595,5121,4474,0,773,2314,1243,2408,2376,481,0,2885,5262,212,25,0,1211,62,6,41,28,9458
ELECCIONES REGIONALES Y MUNICIPALES 2121,2121,200203,PUNO,AZANGARO,ARAPA,6556,3202,3354,0,515,1431,737,1601,1830,442,2,1766,3816,190,22,0,760,15,1,4,4,6532
ELECCIONES REGIONALES Y MUNICIPALES 2122,2122,080607,HUANCAVELICA,HUAYTARA,PILPICHACA,3217,1566,1651,0,351,738,430,804,756,138,4,1088,1430,70,4,0,621,1,2,1,4,3209
ELECCIONES REGIONALES Y MUNICIPALES 2123,2123,080309,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,830,413,417,0,65,162,121,227,197,58,0,174,516,16,3,0,121,2,0,1,2,825
ELECCIONES REGIONALES Y MUNICIPALES 2124,2124,060305,CAJAMARCA,CELENDIN,JORGE CHAVEZ,720,381,339,0,24,167,82,169,213,65,0,259,387,42,6,0,26,0,1,0,0,719
ELECCIONES REGIONALES Y MUNICIPALES 2125,2125,050408,AYACUCHO,LA MAR,SANTA ROSA,7523,3819,3704,0,791,1778,986,2290,1511,167,2,2489,3847,95,8,0,1082,5,1,0,0,7517
ELECCIONES REGIONALES Y MUNICIPALES 2126,2126,100102,ICA,ICA,LA TINGUIÑA,26526,13126,13400,0,1898,6264,3966,7391,5869,1138,6,3205,19912,2426,267,13,697,48,35,8,27,26408
